,precision,recall,f1-score,support
0,0.9571865443425076,0.9690402476780186,0.963076923076923,323.0
1,0.696969696969697,0.6216216216216216,0.6571428571428571,37.0
accuracy,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333
macro avg,0.8270781206561023,0.7953309346498201,0.8101098901098901,360.0
weighted avg,0.9304420350291911,0.9333333333333333,0.9316336996336996,360.0
