,precision,recall,f1-score,support
0,0.9570552147239264,0.9512195121951219,0.9541284403669725,164.0
1,0.9080459770114943,0.9186046511627907,0.9132947976878613,86.0
accuracy,0.94,0.94,0.94,0.94
macro avg,0.9325505958677103,0.9349120816789562,0.9337116190274168,250.0
weighted avg,0.9401960369508497,0.94,0.9400816672853584,250.0
