,precision,recall,f1-score,support
0,0.8031184802417192,0.7508919573780821,0.7754633536195584,207.25
1,0.6900317751090648,0.7503216549103917,0.7179847399554883,152.75
macro avg,0.746575127675392,0.7506068061442368,0.7467240467875234,360.0
weighted avg,0.7557182504633364,0.75,0.7510510732024757,360.0
