,precision,recall,f1-score,support
0,1.0,0.8875,0.9403853227821681,360.0
1,0.0,0.0,0.0,0.0
macro avg,0.5,0.44375,0.47019266139108407,360.0
weighted avg,1.0,0.8875,0.9403853227821681,360.0
