,precision,recall,f1-score,support
0,1.0,0.9093333333333333,0.952513966480447,375.0
1,0.0,0.0,0.0,0.0
accuracy,0.9093333333333333,0.9093333333333333,0.9093333333333333,0.9093333333333333
macro avg,0.5,0.45466666666666666,0.4762569832402235,375.0
weighted avg,1.0,0.9093333333333333,0.952513966480447,375.0
