,precision,recall,f1-score,support
0,0.9700598802395209,0.7788461538461539,0.864,208.0
1,0.4457831325301205,0.8809523809523809,0.592,42.0
accuracy,0.796,0.796,0.796,0.796
macro avg,0.7079215063848208,0.8298992673992673,0.728,250.0
weighted avg,0.8819813866243417,0.796,0.8183039999999999,250.0
