,precision,recall,f1-score,support
0,0.844,0.9377777777777778,0.888421052631579,225.0
1,0.8727272727272727,0.7111111111111111,0.7836734693877551,135.0
accuracy,0.8527777777777777,0.8527777777777777,0.8527777777777777,0.8527777777777777
macro avg,0.8583636363636363,0.8244444444444445,0.836047261009667,360.0
weighted avg,0.8547727272727274,0.8527777777777777,0.8491407089151449,360.0
