,precision,recall,f1-score,support
0,0.9957627118644068,1.0,0.9978768577494692,235.0
1,1.0,0.9333333333333333,0.9655172413793104,15.0
accuracy,0.996,0.996,0.996,0.996
macro avg,0.9978813559322034,0.9666666666666667,0.9816970495643897,250.0
weighted avg,0.9960169491525424,0.996,0.9959352807672597,250.0
