,precision,recall,f1-score,support
0,0.9447852760736196,0.9506172839506173,0.9476923076923076,162.0
1,0.9080459770114943,0.8977272727272727,0.9028571428571429,88.0
accuracy,0.932,0.932,0.932,0.932
macro avg,0.9264156265425569,0.924172278338945,0.9252747252747253,250.0
weighted avg,0.9318530428037516,0.932,0.9319103296703297,250.0
