,precision,recall,f1-score,support
0,0.9041533546325878,0.9278688524590164,0.9158576051779936,305.0
1,0.5319148936170213,0.45454545454545453,0.4901960784313725,55.0
accuracy,0.8555555555555555,0.8555555555555555,0.8555555555555555,0.8555555555555555
macro avg,0.7180341241248045,0.6912071535022355,0.703026841804683,360.0
weighted avg,0.8472835897552096,0.8555555555555555,0.8508259830361486,360.0
