,precision,recall,f1-score,support
0,0.987012987012987,0.991304347826087,0.9891540130151845,230.0
1,0.8947368421052632,0.85,0.8717948717948718,20.0
accuracy,0.98,0.98,0.98,0.98
macro avg,0.9408749145591251,0.9206521739130435,0.9304744424050282,250.0
weighted avg,0.9796308954203692,0.98,0.9797652817175595,250.0
