,precision,recall,f1-score,support
0,0.9563259826393474,0.6598244828252744,0.7804172462796823,320.75
1,0.2140771903135879,0.7603385104041617,0.3315684691955878,39.25
macro avg,0.5852015864764676,0.7100814966147181,0.555992857737635,360.0
weighted avg,0.8762578640663568,0.6694444444444445,0.7318785259934777,360.0
